smiles, logK
[H]c1c([H])c([H])n2->[Cu+2]<-[O-]C(=O)c2c1[H], 8.45
[H]c1c([H])c([H])n2->[Lu+3]<-[O-]C(=O)c2c1[H], 5.08
[H]c1c([H])c([H])n2->[Gd+3]<-[O-]C(=O)c2c1[H], 4.65
[H]c1c([H])c([H])n2->[Y+3]<-[O-]C(=O)c2c1[H], 6.67
[H]c1c([H])c([H])n2->[V+3]<-[O-]C(=O)c2c1[H], 7.10
[H]c1c([H])c([H])n2->[Hg+2]<-[O-]C(=O)c2c1[H], 8.46
[H]c1c([H])c([H])n2->[Yb+3]<-[O-]C(=O)c2c1[H], 5.09
[H]c1c([H])c([H])n2->[Pb+2]<-[O-]C(=O)c2c1[H], 5.04
[H]c1c([H])c([H])n2->[Zn+2]<-[O-]C(=O)c2c1[H], 5.69
[H]c1c([H])c([H])n2->[Tm+3]<-[O-]C(=O)c2c1[H], 5.01
[H]O1->[Pb+2]<-N([H])([H])C([H])([H])C1([H])[H], 4.10
[H]O1->[Cd+2]<-N([H])([H])C([H])([H])C1([H])[H], 2.70
[H]O1->[Hg+2]<-N([H])([H])C([H])([H])C1([H])[H], 8.71
[H]O1->[Ni+2]<-N([H])([H])C([H])([H])C1([H])[H], 3.20
[H]O1->[Ag+]<-N([H])([H])C([H])([H])C1([H])[H], 3.23
[H]O1->[Zn+2]<-N([H])([H])C([H])([H])C1([H])[H], 2.58
[H]O1->[Mn+2]<-N([H])([H])C([H])([H])C1([H])[H], 0.84
[H]O1->[Fe+2]<-N([H])([H])C([H])([H])C1([H])[H], 1.90
[H]O1->[Cu+2]<-N([H])([H])C([H])([H])C1([H])[H], 4.54
[H]O1->[Co+2]<-N([H])([H])C([H])([H])C1([H])[H], 2.35
[H]c1c([H])c([H])n2->[Cd+2]<-N([H])([H])C([H])([H])c2c1[H], 4.49
[H]c1c([H])c([H])n2->[Co+2]<-N([H])([H])C([H])([H])c2c1[H], 5.48
[H]c1c([H])c([H])n2->[Zn+2]<-N([H])([H])C([H])([H])c2c1[H], 5.33
[H]c1c([H])c([H])n2->[Ag+]<-N([H])([H])C([H])([H])c2c1[H], 3.35
[H]c1c([H])c([H])n2->[Mn+2]<-N([H])([H])C([H])([H])c2c1[H], 2.66
[H]c1c([H])c([H])n2->[Fe+2]<-N([H])([H])C([H])([H])c2c1[H], 3.96
[H]c1c([H])c([H])n2->[Ni+2]<-N([H])([H])C([H])([H])c2c1[H], 7.20
[H]c1c([H])c([H])n2->[Cu+2]<-N([H])([H])C([H])([H])c2c1[H], 9.60
[H]O1->[Ho+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.62
[H]O1->[Eu+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.46
[H]O1->[U+4]<-[O-]C(=O)C1([H])C([H])([H])[H], 5.62
[H]O1->[V+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.32
[H]O1->[Be+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 1.96
[H]O1->[Cu+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.04
[H]O1->[Al+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.26
[H]O1->[Pr+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.41
[H]O1->[Sc+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 4.82
[H]O1->[Mg+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 1.44
[H]O1->[U+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.21
[H]O1->[Ni+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 2.16
[H]O1->[Sr+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 1.07
[H]O1->[Y+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.65
[H]O1->[Sm+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.49
[H]O1->[Mn+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 1.62
[H]O1->[Zn+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 2.35
[H]O1->[In+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 4.17
[H]O1->[Th+4]<-[O-]C(=O)C1([H])C([H])([H])[H], 5.18
[H]O1->[Nd+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.52
[H]O1->[Er+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.80
[H]O1->[Cr+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.91
[H]O1->[Ga+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.65
[H]O1->[Li+]<-[O-]C(=O)C1([H])C([H])([H])[H], 0.00
[H]O1->[Co+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 2.08
[H]O1->[Pb+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 2.53
[H]O1->[Tb+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.52
[H]O1->[Pd+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 4.40
[H]O1->[Am+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.35
[H]O1->[Hg+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 4.12
[H]O1->[Ce+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.27
[H]O1->[Ca+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 1.49
[H]O1->[Ba+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 0.87
[H]O1->[Tm+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.80
[H]O1->[Cd+2]<-[O-]C(=O)C1([H])C([H])([H])[H], 1.82
