smiles, logK
[Yb+3].[Na+].[Na+].[Na+].OCCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O, 15.64
[Eu+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 2.4
[Gd+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 1.95
[Ho+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 2
[Nd+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 1.75
[Yb+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 2.3
[Ce+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 3.21
[Er+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 3.49
[Gd+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 3.36
[Nd+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 3.27
[Pr+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 3.23
[Sm+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 3.44
[Yb+3].CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O, 3.68
[Eu+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 5.81
[Eu+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.86
[Tb+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.75
[Dy+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.69
[Er+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.6
[Gd+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.78
[Ho+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.65
[Lu+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.6
[Nd+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.73
[Pr+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.72
[Sm+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.81
[Tm+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.58
[Yb+3].OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O, 4.59
[Ce+3].Oc1ccc2ccccc2c1N=O, 4.16
[Eu+3].Oc1ccc2ccccc2c1N=O, 4.53
[Tb+3].Oc1ccc2ccccc2c1N=O, 4.34
[Dy+3].Oc1ccc2ccccc2c1N=O, 4.3
[Er+3].Oc1ccc2ccccc2c1N=O, 4.36
[Gd+3].Oc1ccc2ccccc2c1N=O, 4.44
[Ho+3].Oc1ccc2ccccc2c1N=O, 4.33
[Lu+3].Oc1ccc2ccccc2c1N=O, 4.48
[Nd+3].Oc1ccc2ccccc2c1N=O, 4.44
[Pr+3].Oc1ccc2ccccc2c1N=O, 4.29
[Sm+3].Oc1ccc2ccccc2c1N=O, 4.62
[Tm+3].Oc1ccc2ccccc2c1N=O, 4.38
[Yb+3].Oc1ccc2ccccc2c1N=O, 4.46
[Ce+3].Oc1c(ccc2ccccc12)N=O, 5.57
[Eu+3].Oc1c(ccc2ccccc12)N=O, 5.84
[Tb+3].Oc1c(ccc2ccccc12)N=O, 5.81
[Dy+3].Oc1c(ccc2ccccc12)N=O, 5.83
[Er+3].Oc1c(ccc2ccccc12)N=O, 6
[Gd+3].Oc1c(ccc2ccccc12)N=O, 5.75
[Ho+3].Oc1c(ccc2ccccc12)N=O, 5.94
[Pr+3].Oc1c(ccc2ccccc12)N=O, 5.53
[Tm+3].Oc1c(ccc2ccccc12)N=O, 6
[Ce+3].Oc1c(cc(c2ccccc12)[S](O)(=O)=O)N=O, 2.7
[Dy+3].Oc1c(cc(c2ccccc12)[S](O)(=O)=O)N=O, 3.18
[Er+3].Oc1c(cc(c2ccccc12)[S](O)(=O)=O)N=O, 3.09
[Gd+3].Oc1c(cc(c2ccccc12)[S](O)(=O)=O)N=O, 3.41
[Ho+3].Oc1c(cc(c2ccccc12)[S](O)(=O)=O)N=O, 3.13
[Nd+3].Oc1c(cc(c2ccccc12)[S](O)(=O)=O)N=O, 3.47
[Sm+3].Oc1c(cc(c2ccccc12)[S](O)(=O)=O)N=O, 3.48
[Yb+3].Oc1c(cc(c2ccccc12)[S](O)(=O)=O)N=O, 3.09
[Pr+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 4.29
[Ce+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 4.42
[Dy+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 4.73
[Er+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 4.65
[Gd+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 4.92
[Ho+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 4.7
[Nd+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 5.01
[Sm+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 5.15
[Yb+3].[Na+].[Na+].Oc1c(cc2cc(ccc2c1N=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O, 4.74
[Tb+3].c1ccc(nc1)c2ccccn2, 4.29
[Dy+3].c1ccc(nc1)c2ccccn2, 4.33
[Gd+3].c1ccc(nc1)c2ccccn2, 3.85
[Ce+3].c1ccc(nc1)c2ccccn2, 0.9
[Dy+3].c1ccc(nc1)c2ccccn2, 0.9
[Gd+3].c1ccc(nc1)c2ccccn2, 0.8
[Nd+3].c1ccc(nc1)c2ccccn2, 0.9
[Pr+3].c1ccc(nc1)c2ccccn2, 0.9
[Sm+3].c1ccc(nc1)c2ccccn2, 0.9
[Eu+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 9.09
[Dy+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 9.39
[Er+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 9.49
[Gd+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 8.96
[Ho+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 9.63
[Nd+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 8.53
[Pr+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 8.52
[Sm+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 8.98
[Yb+3].COC1=CC(=N/Nc2sccn2)\C(=O)C=C1, 9.6
[Eu+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 6.78
[Ce+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.56
[Eu+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.82
[Tb+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.8
[Tb+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 5
[Dy+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.83
[Er+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 5
[Er+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 5.1
[Gd+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.8
[Gd+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 5
[Ho+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.86
[Lu+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 5.1
[Lu+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 5.2
[Nd+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.5
[Nd+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.45
[Pr+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.52
[Sm+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 4.75
[Yb+3].NC(Cc1c[nH]c2ccccc12)C(O)=O, 5.11
[Ce+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 12.01
[Eu+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 13.42
[Tb+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 13.88
[Dy+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 14.07
[Er+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 14.3
[Gd+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 13.55
[Ho+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 14.14
[Lu+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 14.87
[Nd+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 12.46
[Pr+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 12.21
[Sm+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 13.08
[Tm+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 14.48
[Yb+3].OC(=O)CN(CC(O)=O)Cc1ccccc1O, 14.54
[Eu+3].NCC(=O)NC(Cc1ccccc1)C(O)=O, 2.65
[Gd+3].NCC(=O)NC(Cc1ccccc1)C(O)=O, 2.4
[Ho+3].NCC(=O)NC(Cc1ccccc1)C(O)=O, 2.45
[Yb+3].NCC(=O)NC(Cc1ccccc1)C(O)=O, 2.75
[Eu+3].C[C@H](C[NH+](CC([O-])=O)CC([O-])=O)[NH+](CC([O-])=O)CC([O-])=O, 13.1
[Eu+3].C[C@H](C[NH+](CC([O-])=O)CC([O-])=O)[NH+](CC([O-])=O)CC([O-])=O, 13.54
[Ce+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 10.93
[Eu+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 12.86
[Tb+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 13.24
